"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.691988500E0,-3.988038599E-1,-6.643987894E-1,3.442381024E-1
1.701959500E0,-4.117246866E-1,-7.940493226E-1,1.690846980E-1
1.711930500E0,-3.292508721E-1,-8.622408509E-1,-1.089253463E-2
1.721900500E0,-1.791326404E-1,-6.686646938E-1,-1.615730077E-1
1.731871500E0,1.429595239E-2,-4.046248496E-1,-2.869722247E-1
1.741841500E0,2.028800398E-1,-2.270008922E-1,-3.850871623E-1
1.751812500E0,3.721867800E-1,-1.865525395E-1,-4.781484008E-1
1.761783500E0,4.837811589E-1,-2.413482815E-1,-5.368307829E-1
1.771753500E0,4.925906360E-1,-3.463135958E-1,-4.813936353E-1
1.781724500E0,4.451546669E-1,-5.490216613E-1,-4.032721817E-1
1.791694500E0,3.964467943E-1,-6.808220744E-1,-3.160248995E-1
1.801665500E0,3.355814219E-1,-7.457566857E-1,-2.849701047E-1
1.811636500E0,2.952531874E-1,-7.310740948E-1,-3.676857650E-1
1.821606500E0,3.521957994E-1,-6.440250874E-1,-5.087036490E-1
1.831577500E0,4.389075339E-1,-4.534354210E-1,-6.405056119E-1
1.841548500E0,5.072741508E-1,-1.793252826E-1,-7.363059521E-1
1.851518500E0,5.430191159E-1,4.476400837E-2,-8.034564853E-1
1.861489500E0,6.028152704E-1,1.064347997E-1,-8.806961179E-1
1.871459500E0,6.766104102E-1,1.408622712E-1,-9.639382958E-1
1.881430500E0,7.063606381E-1,1.788918376E-1,-1.012820005E0
1.891402334E0,6.999374032E-1,1.544275135E-1,-9.935013652E-1
1.901372333E0,6.379362345E-1,1.090705320E-1,-9.196187258E-1
1.911343333E0,5.526594520E-1,7.264328003E-2,-8.384434581E-1
1.921313333E0,5.072994232E-1,-4.116889462E-2,-8.136141300E-1
1.931284333E0,5.059878230E-1,-1.302654892E-1,-8.482157588E-1
1.941255333E0,5.078572631E-1,-8.426862210E-2,-8.627567291E-1
1.951225333E0,5.588980317E-1,-1.348526776E-2,-8.513035774E-1
1.961196333E0,6.204231977E-1,2.133912221E-2,-8.051565886E-1
1.971166333E0,6.076999307E-1,1.586013585E-1,-7.163904905E-1
1.981137333E0,5.840121508E-1,2.689615488E-1,-6.550114751E-1
1.991108333E0,5.474256277E-1,3.216050565E-1,-6.653003693E-1
2.001078333E0,5.231643915E-1,4.435560703E-1,-6.558545828E-1
2.011049333E0,5.396221876E-1,5.088394880E-1,-6.444008350E-1
2.021020333E0,5.506843925E-1,4.963624179E-1,-6.371769905E-1
2.030991333E0,5.443726778E-1,4.803373516E-1,-5.981428027E-1
2.040961333E0,5.350745320E-1,5.146492720E-1,-5.325255990E-1
2.050932333E0,5.719262958E-1,5.051580071E-1,-4.429230392E-1
2.060903333E0,6.309221983E-1,5.267887712E-1,-3.623038530E-1
2.070873333E0,7.311937213E-1,6.294259429E-1,-3.294124901E-1
2.080844333E0,8.172343969E-1,8.588506579E-1,-3.137766123E-1
2.090815333E0,8.493074179E-1,1.059158802E0,-3.332986236E-1
2.100785333E0,8.144645691E-1,1.284709096E0,-3.678692281E-1
2.110756333E0,7.790663242E-1,1.507855058E0,-3.839837611E-1
2.120726333E0,7.440393567E-1,1.685770631E0,-3.456240296E-1
2.130697333E0,6.956156492E-1,1.748271465E0,-3.570569754E-1
2.140668334E0,7.157350183E-1,1.641647458E0,-4.122196138E-1
2.150638333E0,6.667099595E-1,1.672863245E0,-4.065873027E-1
2.160609333E0,6.362012625E-1,1.678426385E0,-4.198824763E-1
2.170579333E0,6.501538157E-1,1.529121637E0,-4.448243380E-1
2.180550333E0,6.024364829E-1,1.508213162E0,-4.600609839E-1
2.190521333E0,5.682287216E-1,1.485112906E0,-5.774070621E-1
2.200491333E0,5.957471728E-1,1.448886752E0,-6.888868213E-1
2.210462333E0,6.325513124E-1,1.629051924E0,-6.566247344E-1
2.220433333E0,6.624388695E-1,1.791620135E0,-5.709829926E-1
2.230403333E0,6.838006377E-1,1.805029631E0,-5.229747295E-1
2.240374333E0,6.864944100E-1,1.794502378E0,-4.819362164E-1
2.250344333E0,6.499257684E-1,1.745038986E0,-4.505998492E-1
2.260315333E0,5.568568707E-1,1.577461362E0,-5.266094804E-1
2.270286333E0,4.469037950E-1,1.481576324E0,-6.003550887E-1
2.280256333E0,3.937349021E-1,1.529736400E0,-5.726492405E-1
2.290227333E0,4.518038034E-1,1.589020729E0,-5.148746371E-1
2.300197333E0,5.331885815E-1,1.654015422E0,-4.427465796E-1
2.310168333E0,5.451967716E-1,1.664672375E0,-3.455427885E-1
2.320139333E0,4.807346761E-1,1.445329309E0,-2.669590116E-1
2.330109333E0,3.340797424E-1,1.017245054E0,-2.313618660E-1
2.340080333E0,2.307157218E-1,6.730358601E-1,-1.836233735E-1
2.350051333E0,2.538399696E-1,4.825255275E-1,-1.375698596E-1
