"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.267541708E0,3.088787496E-1,3.096226752E-1,-3.389059007E-2
1.277511708E0,4.345133603E-1,2.649591565E-1,-1.160712764E-1
1.287481708E0,4.749593139E-1,1.050451025E-1,-1.849568784E-1
1.297452708E0,4.088839293E-1,2.851657756E-2,-2.178499401E-1
1.307422708E0,3.030291200E-1,2.463209070E-2,-2.169117033E-1
1.317392708E0,1.808067411E-1,-5.789494608E-3,-1.784379780E-1
1.327362708E0,4.497141019E-2,-1.116107330E-1,-1.203664169E-1
1.337332708E0,-6.551460177E-2,-2.527224422E-1,-6.682187319E-2
1.347302708E0,-9.724589437E-2,-3.998524845E-1,-3.915189207E-2
1.357273708E0,-4.707434773E-2,-4.923059642E-1,-7.405611128E-2
1.367243708E0,8.698385954E-2,-4.933118522E-1,-1.361847371E-1
1.377213708E0,2.136222422E-1,-4.651405513E-1,-1.872621626E-1
1.387183708E0,2.831504643E-1,-3.578463197E-1,-2.009316385E-1
1.397153708E0,2.839805484E-1,-2.432800531E-1,-1.945291311E-1
1.407123708E0,2.772589922E-1,-1.768070161E-1,-2.017862499E-1
1.417094708E0,3.153705597E-1,-5.646802112E-2,-1.649229527E-1
1.427064708E0,3.782280684E-1,1.065179706E-1,-8.202967048E-2
1.437034708E0,4.461199641E-1,2.459910810E-1,-2.617821284E-2
1.447004708E0,4.947974980E-1,3.617685437E-1,-5.187558755E-2
1.456974708E0,5.530562401E-1,5.418598056E-1,-1.006189212E-1
1.466944708E0,6.450543404E-1,7.237584591E-1,-1.094430387E-1
1.476915708E0,6.941233873E-1,7.214891911E-1,-1.184476539E-1
1.486885708E0,6.950765252E-1,6.548022628E-1,-1.254530996E-1
1.496855708E0,6.557136774E-1,5.115004778E-1,-1.463599205E-1
1.506825708E0,6.268945336E-1,2.762615383E-1,-1.927737445E-1
1.516795708E0,6.228555441E-1,6.459141523E-2,-2.288548201E-1
1.526765708E0,6.480208039E-1,-1.890331358E-1,-2.667864859E-1
1.536736708E0,6.836428046E-1,-2.283190936E-1,-2.415401936E-1
1.546706708E0,6.970885396E-1,-2.138317674E-1,-2.130334526E-1
1.556676708E0,6.689876318E-1,-2.690590322E-1,-2.152596265E-1
1.566646708E0,6.591696143E-1,-2.713834345E-1,-2.108185291E-1
1.576616708E0,6.864466071E-1,-2.191623449E-1,-2.028753906E-1
1.586587708E0,6.927241683E-1,-2.336717844E-1,-2.005155534E-1
1.596557708E0,6.571667194E-1,-2.941129506E-1,-1.951482892E-1
1.606527708E0,6.097688675E-1,-3.290075660E-1,-1.641903669E-1
1.616497708E0,5.736991763E-1,-3.224097192E-1,-1.078299582E-1
1.626467708E0,5.706093907E-1,-3.413589299E-1,-9.757093340E-2
1.636437708E0,5.578396320E-1,-3.821474910E-1,-1.147975698E-1
1.646407708E0,5.187561512E-1,-4.009746909E-1,-9.623879939E-2
1.656378708E0,4.558132589E-1,-3.297855258E-1,-4.381664470E-2
1.666348708E0,4.243125916E-1,-2.772615850E-1,5.425469019E-3
1.676318708E0,4.446371794E-1,-2.938839197E-1,4.664618894E-2
1.686288708E0,4.812865257E-1,-2.275629491E-1,7.225194573E-2
1.696258708E0,4.915167987E-1,-1.023110598E-1,8.981899172E-2
1.706229708E0,4.648287296E-1,-4.229726270E-2,1.008383483E-1
1.716199708E0,4.152999818E-1,-1.017180830E-2,1.347415298E-1
1.726169708E0,3.621377051E-1,1.530437320E-1,1.801079512E-1
1.736139708E0,3.275997341E-1,3.320088387E-1,2.186402529E-1
1.746109708E0,3.150948584E-1,4.122658670E-1,2.547705472E-1
1.756079708E0,2.829954624E-1,3.957904875E-1,2.971172631E-1
1.766050708E0,2.252839506E-1,2.603034973E-1,3.491197526E-1
1.776020708E0,1.680521518E-1,1.543747783E-1,4.182855785E-1
1.785990708E0,1.338406503E-1,1.065313667E-1,5.053675175E-1
1.795960708E0,1.130861193E-1,-4.027748946E-3,5.662512183E-1
1.805930708E0,6.676815450E-2,-1.150906235E-1,6.084607244E-1
1.815900708E0,3.353954107E-2,-1.088853702E-1,6.457135677E-1
1.825871708E0,7.754801959E-2,6.834304892E-3,7.027944326E-1
1.835841708E0,1.090556532E-1,2.462944835E-1,7.740270495E-1
1.845811708E0,1.229008958E-1,4.982194006E-1,8.288535476E-1
1.855781708E0,1.129092127E-1,7.040319443E-1,8.674806952E-1
1.865751708E0,6.607858837E-2,9.552713633E-1,8.989225030E-1
1.875721708E0,-6.406757049E-3,1.217352271E0,9.296803474E-1
1.885692375E0,-9.876118600E-2,1.358825803E0,9.219116569E-1
1.895662375E0,-1.878282577E-1,1.383021355E0,8.813967109E-1
1.905632375E0,-2.509353161E-1,1.343870759E0,8.170797825E-1
1.915602375E0,-2.033419460E-1,1.169583917E0,7.411271334E-1
1.925572375E0,-9.135708213E-2,9.786774516E-1,7.261332870E-1
1.935542375E0,8.165860176E-2,9.076730013E-1,7.445394993E-1
1.945513375E0,3.595594764E-1,9.030071497E-1,7.850464582E-1
1.955483375E0,6.344498396E-1,8.393228054E-1,8.316444159E-1
1.965453375E0,8.547707796E-1,7.517599463E-1,7.865917087E-1
1.975423375E0,9.572165608E-1,8.651285768E-1,6.428499222E-1
1.985393375E0,8.762351274E-1,1.111629725E0,3.793056309E-1
1.995363375E0,6.309859753E-1,1.332381964E0,1.113947183E-1
2.005334375E0,4.669555128E-1,1.564589620E0,4.738964140E-2
2.015304375E0,4.816667736E-1,1.721129775E0,8.552286029E-2
2.025274375E0,4.667999446E-1,1.889927030E0,5.978713557E-2
2.035244375E0,3.231045604E-1,2.095568180E0,-1.175795645E-1
2.045214375E0,9.259145707E-2,2.238944769E0,-3.567820489E-1
2.055184375E0,-3.935295343E-2,2.420337677E0,-5.905657411E-1
2.065155375E0,7.633769512E-2,2.423460722E0,-8.267777562E-1
2.075125375E0,2.625258267E-1,1.737894416E0,-1.045667887E0
2.085095375E0,4.894511104E-1,2.573247850E-1,-1.068296313E0
2.095065375E0,6.311931014E-1,-1.453940034E0,-9.759919643E-1
2.105035375E0,6.089040637E-1,-2.485982418E0,-1.004177332E0
2.115005375E0,5.561778545E-1,-2.764360905E0,-1.145409346E0
2.124976375E0,5.091416240E-1,-2.670678377E0,-1.072352409E0
2.134946375E0,4.386647344E-1,-2.384647846E0,-7.420700192E-1
2.144916375E0,4.591207206E-1,-1.944303870E0,-3.785941303E-1
2.154886375E0,4.654896855E-1,-1.319313765E0,-1.802849770E-1
2.164856375E0,4.055451155E-1,-4.374306202E-1,-1.380999833E-1
2.174827375E0,2.820967436E-1,4.306906164E-1,-1.174861044E-1
2.184797375E0,9.728775918E-2,1.062292576E0,5.374741741E-4
2.194767375E0,-1.223107427E-1,1.387920022E0,1.531248242E-1
2.204737375E0,-2.845923305E-1,1.286744118E0,1.391922385E-1
2.214707375E0,-3.285208344E-1,7.465957999E-1,-1.041784436E-1
2.224677375E0,-2.188036591E-1,6.053857133E-2,-4.218355119E-1
2.234648375E0,2.154681459E-2,-5.025153756E-1,-6.309705973E-1
2.244618375E0,2.694181204E-1,-8.725400567E-1,-7.424414158E-1
2.254588375E0,4.058877826E-1,-1.055862904E0,-8.136270046E-1
2.264558375E0,3.949842751E-1,-1.018820763E0,-8.072527647E-1
2.274528375E0,3.181508183E-1,-7.013055086E-1,-7.282401323E-1
2.284498375E0,2.148436159E-1,-1.769573390E-1,-6.348263025E-1
2.294469375E0,9.774337709E-2,4.108065069E-1,-5.221949816E-1
2.304439375E0,-4.738505557E-2,9.621956348E-1,-3.786914051E-1
2.314409375E0,-1.481346041E-1,1.282359362E0,-2.584374547E-1
2.324379375E0,-1.681828946E-1,1.285804987E0,-2.027142644E-1
2.334349375E0,-8.736286312E-2,9.836257696E-1,-2.458752245E-1
2.344319375E0,1.129712984E-1,5.640380979E-1,-2.817727625E-1
2.354290375E0,2.577327192E-1,1.117017865E-1,-2.784035504E-1
2.364260375E0,2.804643810E-1,-3.925395310E-1,-3.728962541E-1
2.374230375E0,2.330348492E-1,-7.603372931E-1,-5.049389601E-1
2.384200375E0,1.390100867E-1,-8.873708844E-1,-5.240868330E-1
2.394170375E0,3.367543221E-2,-8.365730643E-1,-4.311429560E-1
2.404141375E0,-5.047513172E-2,-7.001787424E-1,-3.255054653E-1
