"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.012331175E1,-3.266654968E1,6.216354370E-1,-3.971047974E1
1.013328175E1,-3.284989929E1,7.508392334E-1,-3.929122925E1
1.014325275E1,-3.343045044E1,1.043670654E0,-3.906015015E1
1.015322275E1,-3.358988953E1,1.293060303E0,-3.911859131E1
1.016319275E1,-3.377590942E1,1.495979309E0,-3.860516357E1
1.017316275E1,-3.399504089E1,1.580619812E0,-3.853408813E1
1.018313375E1,-3.422270203E1,1.494071960E0,-3.822463989E1
1.019310375E1,-3.459506226E1,1.396430969E0,-3.801498413E1
1.020307375E1,-3.485655212E1,1.182518005E0,-3.824230957E1
1.021304375E1,-3.502156067E1,1.167434692E0,-3.786917114E1
1.022301375E1,-3.524157715E1,1.079399109E0,-3.755554199E1
1.023298475E1,-3.551069641E1,1.221031189E0,-3.721420288E1
1.024295475E1,-3.537594604E1,1.298149109E0,-3.719711304E1
1.025292475E1,-3.539855957E1,1.233497620E0,-3.777130127E1
1.026289475E1,-3.517002869E1,9.744338989E-1,-3.766744995E1
1.027286575E1,-3.510173035E1,1.139533997E0,-3.771166992E1
1.028283575E1,-3.492640686E1,1.086074829E0,-3.817645264E1
1.029280575E1,-3.475521851E1,6.834716797E-1,-3.828817749E1
1.030277575E1,-3.462361145E1,2.791748047E-1,-3.841610718E1
1.031274575E1,-3.507440186E1,1.649627686E-1,-3.805880737E1
1.032271675E1,-3.561563110E1,1.624603271E-1,-3.756378174E1
1.033268675E1,-3.628543091E1,4.943618774E-1,-3.689538574E1
1.034265675E1,-3.688015747E1,4.168319702E-1,-3.629708862E1
1.035262675E1,-3.695126343E1,7.808837891E-1,-3.636279297E1
1.036259775E1,-3.687348938E1,7.477722168E-1,-3.591125488E1
1.037256775E1,-3.662826538E1,1.060905457E0,-3.615438843E1
1.038253775E1,-3.646243286E1,1.394462585E0,-3.647683716E1
1.039250775E1,-3.629830933E1,1.929710388E0,-3.659490967E1
1.040247875E1,-3.599345398E1,2.317955017E0,-3.676248169E1
1.041244875E1,-3.595109558E1,2.858627319E0,-3.695297241E1
1.042241875E1,-3.599719238E1,3.291358948E0,-3.689428711E1
1.043238875E1,-3.607797241E1,3.893013000E0,-3.700430298E1
1.044235875E1,-3.615788269E1,4.369232178E0,-3.672903442E1
1.045232975E1,-3.636038208E1,5.060379028E0,-3.682046509E1
1.046229975E1,-3.661210632E1,5.718452454E0,-3.649136353E1
1.047226975E1,-3.652983093E1,6.520874023E0,-3.593035889E1
1.048223975E1,-3.680751038E1,7.391433716E0,-3.538214111E1
1.049221075E1,-3.689874268E1,8.182464600E0,-3.564559937E1
1.050218075E1,-3.682330322E1,8.918823242E0,-3.572082520E1
1.051215075E1,-3.709637451E1,9.696121216E0,-3.544732666E1
1.052212075E1,-3.693070984E1,1.054985046E1,-3.511251831E1
1.053209175E1,-3.660659790E1,1.138635254E1,-3.487976074E1
1.054206175E1,-3.679791260E1,1.218692780E1,-3.473291016E1
1.055203175E1,-3.697950745E1,1.300883484E1,-3.440112305E1
1.056200175E1,-3.684509277E1,1.363088989E1,-3.455740356E1
1.057197175E1,-3.705502319E1,1.421289062E1,-3.393130493E1
1.058194275E1,-3.696376038E1,1.473537445E1,-3.409289551E1
1.059191275E1,-3.697259521E1,1.467829132E1,-3.378683472E1
1.060188275E1,-3.702833557E1,1.528456879E1,-3.344775391E1
1.061185275E1,-3.697387695E1,1.532646179E1,-3.346850586E1
1.062182375E1,-3.709486389E1,1.560575867E1,-3.316253662E1
1.063179375E1,-3.712695312E1,1.562335205E1,-3.324493408E1
1.064176375E1,-3.725038147E1,1.584386444E1,-3.334857178E1
1.065173375E1,-3.725123596E1,1.563350677E1,-3.304953003E1
1.066170475E1,-3.699075317E1,1.545994568E1,-3.339648438E1
1.067167475E1,-3.682312012E1,1.510017395E1,-3.388546753E1
1.068164475E1,-3.666264343E1,1.508899689E1,-3.426647949E1
1.069161475E1,-3.630909729E1,1.436023712E1,-3.460266113E1
1.070158475E1,-3.606488037E1,1.400412750E1,-3.471606445E1
1.071155575E1,-3.596234131E1,1.366942596E1,-3.511669922E1
1.072152575E1,-3.588987732E1,1.326486206E1,-3.560766602E1
1.073149575E1,-3.566751099E1,1.243857574E1,-3.625915527E1
1.074146575E1,-3.538720703E1,1.166693115E1,-3.652282715E1
1.075143675E1,-3.508843994E1,1.114787292E1,-3.719543457E1
1.076140675E1,-3.491961670E1,1.060118103E1,-3.759649658E1
1.077137675E1,-3.479579163E1,9.908973694E0,-3.770541382E1
1.078134675E1,-3.454820251E1,9.067115784E0,-3.820013428E1
1.079131675E1,-3.412600708E1,8.335632324E0,-3.850997925E1
1.080128775E1,-3.398016357E1,7.884399414E0,-3.875292969E1
1.081125775E1,-3.367947388E1,7.173049927E0,-3.902615356E1
1.082122775E1,-3.407618713E1,6.814613342E0,-3.904498291E1
1.083119775E1,-3.416484070E1,6.372039795E0,-3.908734131E1
1.084116875E1,-3.433288574E1,5.824981689E0,-3.890280151E1
1.085113875E1,-3.446997070E1,5.264137268E0,-3.904409790E1
1.086110875E1,-3.432489014E1,5.024436951E0,-3.916436768E1
1.087107875E1,-3.425016785E1,4.503433228E0,-3.898428345E1
1.088104975E1,-3.394258118E1,4.349357605E0,-3.911703491E1
1.089101900E1,-3.363475037E1,4.052833557E0,-3.936474609E1
1.090098900E1,-3.329162598E1,3.695899963E0,-3.966641235E1
1.091095900E1,-3.294007874E1,3.435745239E0,-4.030114746E1
1.092092900E1,-3.253524780E1,2.805999756E0,-4.091860962E1
1.093090000E1,-3.224879456E1,2.476196289E0,-4.108337402E1
1.094087000E1,-3.185581970E1,2.240539551E0,-4.109020996E1
1.095084000E1,-3.207060242E1,1.924728394E0,-4.083151245E1
1.096081000E1,-3.228732300E1,1.785224915E0,-4.076760864E1
1.097078100E1,-3.226367188E1,1.595977783E0,-4.089270020E1
1.098075100E1,-3.228938293E1,1.442726135E0,-4.120950317E1
1.099072100E1,-3.222013855E1,1.164733887E0,-4.103665161E1
1.100069100E1,-3.210644531E1,1.031341553E0,-4.155853271E1
1.101066100E1,-3.199021912E1,8.550033569E-1,-4.115899658E1
1.102063200E1,-3.196627808E1,5.647506714E-1,-4.054904175E1
1.103060200E1,-3.217276001E1,5.502014160E-1,-4.082907104E1
1.104057200E1,-3.216906738E1,3.481140137E-1,-4.119418335E1
1.105054200E1,-3.218101501E1,-1.830139160E-1,-4.134127808E1
1.106051300E1,-3.197650146E1,-4.100799561E-2,-4.121835327E1
1.107048300E1,-3.203472900E1,-1.036376953E-1,-4.108535767E1
1.108045300E1,-3.172196960E1,-3.122406006E-1,-4.072717285E1
1.109042300E1,-3.190115356E1,-2.907257080E-1,-4.119537354E1
1.110039400E1,-3.163771057E1,-3.194122314E-1,-4.144848633E1
1.111036400E1,-3.130465698E1,-5.196533203E-1,-4.163775635E1
1.112033400E1,-3.092620850E1,-7.225723267E-1,-4.174459839E1
1.113030400E1,-3.042881775E1,-1.014862061E0,-4.218887329E1
1.114027400E1,-3.019146729E1,-1.115005493E0,-4.288281250E1
1.115024500E1,-3.002496338E1,-1.417419434E0,-4.315643311E1
1.116021500E1,-2.998905945E1,-1.227630615E0,-4.295495605E1
1.117018500E1,-2.990676880E1,-1.626129150E0,-4.292480469E1
1.118015500E1,-3.001622009E1,-1.621673584E0,-4.245422363E1
1.119012600E1,-2.992332458E1,-1.633232117E0,-4.238858032E1
1.120009600E1,-2.987667847E1,-1.584777832E0,-4.233142090E1
1.121006600E1,-2.963279724E1,-1.471023560E0,-4.248574829E1
1.122003600E1,-2.902937317E1,-1.524154663E0,-4.315512085E1
1.123000700E1,-2.877185059E1,-1.179580688E0,-4.350711060E1
1.123997700E1,-2.818832397E1,-1.576881409E0,-4.372293091E1
1.124994700E1,-2.815443420E1,-1.612007141E0,-4.422473145E1
1.125991700E1,-2.765060425E1,-1.678642273E0,-4.416525269E1
1.126988700E1,-2.767697144E1,-1.855018616E0,-4.405065918E1
1.127985800E1,-2.744015503E1,-1.749076843E0,-4.408697510E1
1.128982800E1,-2.775102234E1,-1.766448975E0,-4.397631836E1
1.129979800E1,-2.781613159E1,-1.958923340E0,-4.395556641E1
1.130976800E1,-2.822613525E1,-2.381095886E0,-4.374810791E1
1.131973900E1,-2.816575623E1,-2.220832825E0,-4.369351196E1
1.132970900E1,-2.818601990E1,-2.142311096E0,-4.391354370E1
1.133967900E1,-2.840538025E1,-1.761840820E0,-4.385266113E1
1.134964900E1,-2.872874451E1,-2.176483154E0,-4.394293213E1
1.135961900E1,-2.851287842E1,-2.382225037E0,-4.338552856E1
1.136959000E1,-2.851226807E1,-2.556831360E0,-4.350830078E1
1.137956000E1,-2.827294922E1,-2.647125244E0,-4.390698242E1
1.138953000E1,-2.833120728E1,-2.813232422E0,-4.397189331E1
1.139950000E1,-2.828004456E1,-2.744316101E0,-4.380850220E1
1.140947100E1,-2.838508606E1,-2.851997375E0,-4.409533691E1
1.141944100E1,-2.853158569E1,-2.890708923E0,-4.408395386E1
1.142941100E1,-2.852517700E1,-2.730895996E0,-4.352294922E1
1.143938100E1,-2.822480774E1,-2.259628296E0,-4.367202759E1
1.144935200E1,-2.792138672E1,-2.321098328E0,-4.387628174E1
1.145932200E1,-2.735545349E1,-2.370376587E0,-4.442520142E1
1.146929200E1,-2.690087891E1,-2.390060425E0,-4.501266479E1
1.147926200E1,-2.641973877E1,-2.301780701E0,-4.553677368E1
1.148923200E1,-2.533233643E1,-2.289024353E0,-4.586535645E1
1.149920300E1,-2.473797607E1,-2.361579895E0,-4.665185547E1
1.150917300E1,-2.392640686E1,-2.321907043E0,-4.688552856E1
1.151914300E1,-2.292976379E1,-2.331809998E0,-4.696835327E1
1.152911300E1,-2.215130615E1,-2.284179688E0,-4.706896973E1
1.153908400E1,-2.161975098E1,-2.309486389E0,-4.754824829E1
1.154905400E1,-2.079235840E1,-2.123123169E0,-4.803161621E1
1.155902400E1,-2.025782776E1,-2.393318176E0,-4.859805298E1
1.156899400E1,-2.012330627E1,-2.304458618E0,-4.842962646E1
1.157896500E1,-2.019371033E1,-2.117683411E0,-4.814981079E1
1.158893500E1,-2.070858765E1,-2.243530273E0,-4.844738770E1
1.159890500E1,-2.101618958E1,-2.599327087E0,-4.809255981E1
1.160887500E1,-2.145657349E1,-2.687049866E0,-4.786239624E1
1.161884500E1,-2.178991699E1,-2.385673523E0,-4.744363403E1
1.162881600E1,-2.210650635E1,-2.127670288E0,-4.771081543E1
1.163878600E1,-2.241468811E1,-1.998893738E0,-4.732012939E1
1.164875600E1,-2.277888489E1,-1.664421082E0,-4.689755249E1
1.165872600E1,-2.317486572E1,-1.681663513E0,-4.694296265E1
1.166869700E1,-2.329142761E1,-1.695236206E0,-4.686059570E1
1.167866700E1,-2.370303345E1,-1.566581726E0,-4.642544556E1
1.168863700E1,-2.387449646E1,-1.287879944E0,-4.652117920E1
1.169860700E1,-2.403256226E1,-1.563110352E0,-4.673101807E1
1.170857800E1,-2.377066040E1,-1.458885193E0,-4.704687500E1
1.171854800E1,-2.360969543E1,-1.034805298E0,-4.718371582E1
1.172851800E1,-2.299703979E1,-8.823547363E-1,-4.773620605E1
1.173848800E1,-2.244320679E1,-6.121597290E-1,-4.763790894E1
1.174845800E1,-2.211936951E1,-7.074279785E-1,-4.772015381E1
