"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.186694125E0,-9.197005033E-1,9.252969623E-1,-5.895097256E-1
1.196665125E0,-8.724800348E-1,8.323649168E-1,-6.826654673E-1
1.206635125E0,-8.050581813E-1,7.637352347E-1,-7.859638929E-1
1.216606125E0,-7.173621655E-1,7.208541036E-1,-8.915749788E-1
1.226576125E0,-5.916323662E-1,6.917239428E-1,-1.028663158E0
1.236546125E0,-4.760977924E-1,6.344785094E-1,-1.175714135E0
1.246517125E0,-3.780691326E-1,5.468640327E-1,-1.333648682E0
1.256487125E0,-2.874039412E-1,4.465052485E-1,-1.475224018E0
1.266458125E0,-2.175993919E-1,3.047538698E-1,-1.554756284E0
1.276428125E0,-1.617963165E-1,1.685832441E-1,-1.619328618E0
1.286399125E0,-1.233205572E-1,3.861724958E-2,-1.665605068E0
1.296369125E0,-1.117493883E-1,-9.613417089E-2,-1.698018670E0
1.306339125E0,-1.145157740E-1,-2.083854824E-1,-1.735785246E0
1.316310125E0,-1.345896125E-1,-2.554512918E-1,-1.764439464E0
1.326280125E0,-1.423922330E-1,-2.598050833E-1,-1.797326803E0
1.336251125E0,-1.190823838E-1,-2.360395640E-1,-1.814952612E0
1.346221125E0,-7.829672843E-2,-2.260169387E-1,-1.791453481E0
1.356191125E0,-6.686537713E-2,-2.492996156E-1,-1.749064207E0
1.366162125E0,-8.392398804E-2,-2.660793960E-1,-1.712630749E0
1.376132125E0,-6.708990782E-2,-2.468200028E-1,-1.687509775E0
1.386103125E0,-8.874398656E-3,-1.953419596E-1,-1.655378580E0
1.396073125E0,7.180952281E-2,-1.245386377E-1,-1.603883982E0
1.406043125E0,1.400129944E-1,-5.424432829E-2,-1.550084949E0
1.416014125E0,1.573642790E-1,6.142155081E-2,-1.475777984E0
1.425984125E0,1.753197014E-1,2.372454554E-1,-1.370467186E0
1.435955125E0,1.869121641E-1,4.539076984E-1,-1.235550880E0
1.445925125E0,1.805825979E-1,6.357879639E-1,-1.099588156E0
