"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.152974292E0,2.377686054E-1,1.168030873E-1,-9.481673241E-1
2.162943292E0,2.674142420E-1,1.061645001E-1,-9.713569880E-1
2.172913292E0,2.678392828E-1,5.753917247E-2,-9.771913886E-1
2.182882292E0,2.443554848E-1,1.854104735E-2,-9.858621955E-1
2.192851292E0,2.077982724E-1,9.854082018E-3,-9.865908623E-1
2.202821292E0,1.725963801E-1,3.431262448E-2,-9.804016352E-1
2.212790292E0,1.596161276E-1,6.910282373E-2,-9.698240757E-1
2.222760292E0,1.510829926E-1,1.175014228E-1,-9.830792546E-1
2.232729292E0,1.396798790E-1,1.560932994E-1,-1.027394772E0
2.242698292E0,1.436139196E-1,1.701085567E-1,-1.075274467E0
2.252668292E0,2.138981968E-1,1.328914165E-1,-1.113296628E0
2.262637292E0,3.133623600E-1,3.384245560E-2,-1.163648009E0
2.272606292E0,3.951192796E-1,-9.435813129E-2,-1.250151753E0
2.282576292E0,4.567257166E-1,-2.062858194E-1,-1.360267282E0
2.292545292E0,5.113881826E-1,-3.004765213E-1,-1.483664036E0
2.302514292E0,5.339674354E-1,-3.880680799E-1,-1.587468863E0
2.312484292E0,4.907259643E-1,-4.958483577E-1,-1.666908622E0
2.322453292E0,4.338442683E-1,-6.399194002E-1,-1.731366038E0
2.332422292E0,3.967256546E-1,-8.123105764E-1,-1.752962708E0
2.342392292E0,4.038499594E-1,-9.704582095E-1,-1.747697949E0
2.352361292E0,4.231245816E-1,-1.029225826E0,-1.719913721E0
2.362330292E0,4.139043391E-1,-1.011911511E0,-1.698707819E0
2.372300292E0,3.815621138E-1,-9.650891423E-1,-1.701659322E0
2.382269292E0,3.471126854E-1,-9.261339903E-1,-1.712396026E0
2.392239292E0,3.096558452E-1,-9.138890505E-1,-1.704030275E0
2.402208292E0,2.679946125E-1,-9.083989263E-1,-1.658789873E0
2.412177292E0,2.186534405E-1,-9.072732329E-1,-1.593511343E0
2.422147292E0,1.629670262E-1,-9.133323431E-1,-1.509013176E0
2.432116292E0,1.048057154E-1,-9.507609606E-1,-1.443758249E0
2.442085292E0,6.829871982E-2,-9.481645823E-1,-1.378233910E0
2.452055292E0,6.146531925E-2,-8.913460374E-1,-1.294124961E0
2.462024292E0,6.437324733E-2,-7.351155877E-1,-1.202748895E0
2.471993292E0,4.955781624E-2,-5.302526951E-1,-1.142815828E0
2.481963292E0,3.765229881E-2,-2.913927138E-1,-1.097321153E0
2.491932292E0,2.166427672E-2,-5.026451498E-2,-1.056646705E0
2.501902292E0,1.110282447E-2,1.770644486E-1,-9.886124134E-1
2.511871292E0,-2.693004534E-2,3.243300617E-1,-9.464138150E-1
2.521840292E0,-6.587468088E-2,3.617263436E-1,-9.502418041E-1
2.531810292E0,-9.494788200E-2,3.129950166E-1,-9.818694592E-1
2.541779292E0,-1.211553365E-1,2.035619020E-1,-1.015164614E0
2.551748292E0,-1.435565203E-1,8.029349148E-2,-1.037461400E0
2.561718292E0,-1.568200141E-1,-1.497829147E-2,-1.044284582E0
2.571687292E0,-1.549667269E-1,-9.015826136E-2,-1.035309553E0
2.581656292E0,-1.542916000E-1,-1.515879482E-1,-1.026765704E0
2.591626292E0,-1.546188891E-1,-1.748117805E-1,-1.029100299E0
2.601595292E0,-1.819777042E-1,-1.475107521E-1,-1.036572456E0
2.611564292E0,-2.232383192E-1,-1.002961174E-1,-1.038095355E0
2.621534292E0,-2.718481123E-1,-8.185597509E-2,-1.056387901E0
2.631503292E0,-3.035037816E-1,-1.037511602E-1,-1.082762599E0
2.641473292E0,-3.274142146E-1,-1.229807436E-1,-1.102931261E0
2.651442292E0,-3.370301127E-1,-1.341527104E-1,-1.130686879E0
2.661411292E0,-3.311471343E-1,-1.423713714E-1,-1.151574373E0
2.671381292E0,-3.219384551E-1,-9.693890065E-2,-1.142870069E0
2.681350292E0,-3.187387884E-1,3.317980468E-2,-1.111434817E0
2.691319292E0,-3.185353279E-1,1.847128719E-1,-1.090055227E0
2.701289292E0,-3.352659643E-1,2.613278329E-1,-1.078403234E0
2.711258292E0,-3.692833185E-1,2.799891233E-1,-1.062616467E0
2.721227292E0,-4.002147615E-1,2.383138686E-1,-1.061084747E0
2.731197292E0,-3.793073595E-1,1.018505692E-1,-1.084272146E0
2.741166292E0,-3.143800795E-1,-9.639213234E-2,-1.092231631E0
2.751135292E0,-2.771056890E-1,-2.436425686E-1,-1.053388834E0
2.761105292E0,-2.922747433E-1,-2.461273521E-1,-1.017947793E0
2.771074292E0,-3.110835850E-1,-1.406563222E-1,-1.017979026E0
2.781044292E0,-3.175458014E-1,2.847778052E-2,-9.797280431E-1
2.791013292E0,-3.155777454E-1,1.839544475E-1,-9.270890355E-1
2.800982292E0,-3.010986745E-1,2.587795854E-1,-9.012507796E-1
2.810952292E0,-2.737677097E-1,2.826446891E-1,-8.907624483E-1
2.820921292E0,-2.486865371E-1,2.709688842E-1,-8.704584241E-1
2.830890292E0,-2.320777327E-1,2.126557827E-1,-8.350469470E-1
2.840860292E0,-2.459303588E-1,6.307639182E-2,-8.137194514E-1
2.850829292E0,-2.924368680E-1,-1.421390772E-1,-8.416746855E-1
2.860798292E0,-3.202876151E-1,-3.230724037E-1,-9.016839266E-1
2.870768292E0,-3.207004070E-1,-4.349792302E-1,-9.340738058E-1
2.880737292E0,-3.217969835E-1,-4.253782630E-1,-9.407715201E-1
2.890706292E0,-3.198347688E-1,-3.241051733E-1,-9.295737147E-1
2.900676292E0,-2.987136245E-1,-1.494968832E-1,-8.740509152E-1
2.910645292E0,-2.852124572E-1,6.041240320E-2,-7.752103806E-1
2.920615292E0,-2.710992694E-1,2.250129730E-1,-6.815406084E-1
2.930584292E0,-2.743917108E-1,3.414508998E-1,-6.159110069E-1
2.940553292E0,-2.968104482E-1,3.961540163E-1,-5.732097626E-1
2.950523292E0,-3.135159314E-1,4.076136053E-1,-5.170056224E-1
2.960492292E0,-3.207832277E-1,3.943297267E-1,-4.499981701E-1
2.970461292E0,-3.400085866E-1,3.484823406E-1,-3.927082419E-1
2.980431292E0,-3.532671630E-1,2.808423042E-1,-3.759983182E-1
2.990400292E0,-3.327935934E-1,2.546242774E-1,-3.779155314E-1
3.000369292E0,-3.099144697E-1,2.879689336E-1,-3.584324419E-1
3.010339292E0,-2.968553901E-1,3.433853090E-1,-3.458929360E-1
3.020308292E0,-2.786730230E-1,3.894359469E-1,-3.374993205E-1
3.030277292E0,-2.881959677E-1,4.045762718E-1,-3.138912022E-1
3.040247292E0,-3.322906196E-1,3.475136161E-1,-3.205309212E-1
3.050216292E0,-3.454197347E-1,2.125262469E-1,-3.562484384E-1
3.060186292E0,-3.134675324E-1,5.929611996E-2,-3.780757785E-1
3.070155292E0,-2.792352438E-1,-7.739274949E-2,-3.852668405E-1
3.080124292E0,-2.449373603E-1,-1.577477008E-1,-3.945066035E-1
3.090094292E0,-2.168021351E-1,-1.620851904E-1,-3.670978844E-1
