"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.272496708E0,1.169263721E0,2.319016606E-1,-7.815355659E-1
1.282466708E0,1.125524521E0,2.864623666E-1,-7.875604630E-1
1.292436708E0,1.049066186E0,3.589901030E-1,-8.018648028E-1
1.302406708E0,9.255000949E-1,4.128868282E-1,-8.092049360E-1
1.312377708E0,7.925159335E-1,4.345045090E-1,-8.238568902E-1
1.322347708E0,6.150346994E-1,3.763097525E-1,-7.845375538E-1
1.332317708E0,3.800208569E-1,2.343430370E-1,-6.498109102E-1
1.342288708E0,1.586370617E-1,4.640749469E-2,-4.267237782E-1
1.352258708E0,6.504639983E-2,-1.839064062E-1,-2.337974757E-1
1.362228708E0,7.584562153E-2,-4.667627811E-1,-1.377160251E-1
1.372199708E0,1.432792544E-1,-7.934985757E-1,-1.050025597E-1
1.382169708E0,2.183675617E-1,-1.089389920E0,-1.070499495E-1
1.392139708E0,2.395303696E-1,-1.264764667E0,-1.497039497E-1
1.402109708E0,2.618268430E-1,-1.253645420E0,-1.997073442E-1
1.412080292E0,2.562850714E-1,-1.093583941E0,-2.139571160E-1
1.422050292E0,1.763949990E-1,-8.892592788E-1,-1.755701005E-1
1.432020292E0,1.001638621E-1,-6.617827415E-1,-9.190768003E-2
1.441991291E0,5.096295103E-2,-4.008327425E-1,-1.227292325E-2
1.451961291E0,-5.774896592E-3,-1.716477424E-1,1.589266956E-2
1.461931292E0,-9.215743281E-3,-5.461117998E-2,-1.733635738E-2
1.471901292E0,4.242561385E-2,-7.055126131E-2,-9.259143472E-2
1.481872292E0,9.428013116E-2,-5.404730141E-2,-1.169168279E-1
1.491842292E0,1.685466319E-1,1.083476003E-2,-1.028822362E-1
1.501812292E0,2.622698545E-1,6.388144195E-2,-8.911873400E-2
1.511783292E0,2.918447852E-1,-1.134034432E-2,-1.050287336E-1
1.521753292E0,2.727032602E-1,-1.496817619E-1,-1.485660374E-1
1.531723292E0,2.477739155E-1,-2.642400563E-1,-1.940277964E-1
1.541693292E0,1.813017577E-1,-3.318182230E-1,-2.213084698E-1
1.551664292E0,1.293072551E-1,-4.072495997E-1,-2.496660799E-1
1.561634292E0,1.027822420E-1,-4.410477281E-1,-2.546033561E-1
1.571604292E0,1.048920006E-1,-4.362982512E-1,-2.237090915E-1
1.581575291E0,1.586032063E-1,-4.400607646E-1,-1.943088323E-1
1.591545291E0,1.814051867E-1,-4.133990407E-1,-2.187771499E-1
1.601515291E0,1.698191911E-1,-3.543568850E-1,-2.581726611E-1
1.611486292E0,1.390516907E-1,-3.023458719E-1,-2.830476463E-1
1.621456292E0,1.159193888E-1,-2.676529884E-1,-2.969319522E-1
1.631426292E0,7.160226256E-2,-2.303668857E-1,-3.179645240E-1
1.641396292E0,1.425514556E-2,-2.353871465E-1,-3.275253177E-1
1.651367292E0,-2.088500001E-2,-3.205094934E-1,-3.544173837E-1
1.661337292E0,-1.181316450E-1,-4.472777843E-1,-3.871857822E-1
1.671307292E0,-1.936919093E-1,-5.585612059E-1,-3.938900232E-1
1.681278292E0,-6.608191878E-2,-6.462616324E-1,-3.655458093E-1
1.691248292E0,9.359083325E-2,-6.796441078E-1,-3.470813334E-1
1.701218292E0,2.194033563E-1,-6.900777817E-1,-3.440693021E-1
1.711188292E0,2.874689400E-1,-7.172561884E-1,-3.328326046E-1
1.721159291E0,2.849532068E-1,-6.931381822E-1,-3.175398409E-1
1.731129291E0,2.576501966E-1,-6.529406905E-1,-2.708437145E-1
1.741099291E0,2.772373259E-1,-6.780360937E-1,-2.289434671E-1
1.751070292E0,3.616587222E-1,-7.833931446E-1,-2.720296979E-1
1.761040292E0,4.775624573E-1,-9.269604087E-1,-3.508744240E-1
1.771010292E0,5.644885302E-1,-1.064009309E0,-4.727931619E-1
1.780981292E0,6.175657511E-1,-1.145093441E0,-6.214256287E-1
1.790951292E0,6.423371434E-1,-1.170488834E0,-7.053889632E-1
1.800921292E0,6.425430179E-1,-1.203109026E0,-6.775947213E-1
1.810891292E0,6.131470203E-1,-1.317059278E0,-6.112806797E-1
1.820862292E0,5.483976007E-1,-1.414676070E0,-5.564506650E-1
1.830832292E0,4.976928830E-1,-1.472860336E0,-5.081683993E-1
1.840802292E0,4.702377617E-1,-1.669542789E0,-4.409993887E-1
1.850773292E0,3.909304440E-1,-1.872007489E0,-4.064824283E-1
1.860743292E0,2.775068283E-1,-1.876209140E0,-3.368104696E-1
1.870713291E0,1.473613232E-1,-1.747140646E0,-2.946507931E-1
1.880684291E0,4.140256718E-2,-1.640488982E0,-3.325744271E-1
1.890654291E0,1.369317155E-2,-1.617744565E0,-4.602231979E-1
1.900624292E0,4.265992716E-2,-1.559798717E0,-6.031481624E-1
1.910594292E0,9.995251149E-2,-1.321518183E0,-7.236213684E-1
1.920565292E0,1.503293663E-1,-1.018350363E0,-8.347976208E-1
1.930535292E0,2.253407687E-1,-7.668741941E-1,-9.369834065E-1
1.940505292E0,3.135583401E-1,-6.234346032E-1,-1.008001328E0
1.950476292E0,3.650606871E-1,-5.556011796E-1,-1.019815564E0
1.960446292E0,3.686820865E-1,-5.425471067E-1,-1.015746236E0
1.970416292E0,3.230999410E-1,-5.980207920E-1,-1.050936937E0
1.980387292E0,2.720808685E-1,-7.176399827E-1,-1.121387839E0
1.990357292E0,2.505675852E-1,-8.670683503E-1,-1.168424606E0
2.000327292E0,2.377574146E-1,-1.028976917E0,-1.163032413E0
2.010297292E0,2.042252868E-1,-1.239916325E0,-1.131704926E0
2.020268291E0,1.774983406E-1,-1.459959507E0,-1.137036204E0
2.030238291E0,1.791771948E-1,-1.625712514E0,-1.165741920E0
2.040208291E0,2.204744220E-1,-1.604767919E0,-1.173549891E0
2.050179292E0,2.820296586E-1,-1.437167406E0,-1.135597110E0
2.060149292E0,3.290435970E-1,-1.231537104E0,-1.080398202E0
2.070119292E0,3.529915512E-1,-1.035238385E0,-1.048183322E0
2.080090292E0,3.546288013E-1,-8.294540644E-1,-1.034633517E0
2.090060292E0,3.297958970E-1,-6.595129967E-1,-1.018543243E0
2.100030292E0,2.814444602E-1,-5.516564846E-1,-9.890419841E-1
2.110001292E0,2.045078576E-1,-4.785750806E-1,-8.595649600E-1
2.119971292E0,1.013593376E-1,-4.518089592E-1,-6.686106920E-1
2.129941292E0,-4.519429058E-3,-5.407601595E-1,-5.433086753E-1
2.139911292E0,-2.227310836E-1,-6.929528117E-1,-4.653489888E-1
2.149882292E0,-3.996880352E-1,-6.636369824E-1,-3.992913961E-1
2.159852291E0,-5.435791612E-1,-5.220761895E-1,-2.707720101E-1
2.169822291E0,-7.061656713E-1,-4.005942047E-1,-1.337830126E-1
2.179793291E0,-7.387616038E-1,-3.543270528E-1,-1.779521350E-3
2.189763292E0,-6.596124172E-1,-2.715696096E-1,1.066441536E-1
2.199733292E0,-5.119851232E-1,3.036883101E-2,1.173424721E-1
2.209704292E0,-4.344247580E-1,3.009710312E-1,1.220802367E-1
2.219674292E0,-3.071661592E-1,4.774011970E-1,1.454089880E-1
2.229644292E0,-1.773383915E-1,6.565136313E-1,1.136063263E-1
2.239614292E0,-1.492824852E-1,7.374855280E-1,5.708151683E-2
2.249585292E0,-1.481778026E-1,6.967599392E-1,2.608419396E-3
2.259555292E0,-1.291058809E-1,6.374159455E-1,-2.953276969E-2
2.269525292E0,-9.021919966E-2,5.530139804E-1,-4.360171780E-2
2.279496292E0,-8.730298281E-2,4.222889543E-1,-6.311623007E-2
2.289466292E0,-9.649541974E-2,3.247176409E-1,-1.061712876E-1
2.299436292E0,-1.076914817E-1,2.635298669E-1,-1.569673121E-1
2.309407291E0,-1.318799108E-1,2.205866426E-1,-1.969224513E-1
2.319377291E0,-2.093066573E-1,1.709475517E-1,-1.933350116E-1
2.329347291E0,-2.175019979E-1,2.662692666E-1,-1.902505308E-1
2.339318292E0,-2.071754932E-1,4.536496699E-1,-2.179685831E-1
2.349288292E0,-1.895669401E-1,6.316348910E-1,-2.430427670E-1
2.359258292E0,-1.432691067E-1,7.461718917E-1,-2.709093392E-1
2.369228292E0,-8.650729805E-2,8.347811103E-1,-3.000962436E-1
2.379199292E0,-5.348895490E-2,9.061734676E-1,-2.993718088E-1
2.389169292E0,-4.034918547E-2,9.588657022E-1,-2.761892378E-1
2.399139292E0,-2.640184946E-2,9.432536364E-1,-2.645471692E-1
2.409110292E0,-2.565217018E-2,8.338283300E-1,-2.630944252E-1
2.419080292E0,-1.677857526E-2,6.949726343E-1,-2.820608020E-1
2.429050292E0,3.476362443E-3,5.772792697E-1,-2.864662111E-1
2.439021292E0,3.494052589E-2,4.789721370E-1,-2.807566226E-1
