"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.376520121E1,-3.986997223E1,-1.357386017E1,-3.083633423E1
1.377517221E1,-3.974526215E1,-1.334000397E1,-3.083752441E1
1.378514321E1,-3.943704224E1,-1.344753265E1,-3.115966797E1
1.379511421E1,-3.908216095E1,-1.316954803E1,-3.105877686E1
1.380508521E1,-3.886648560E1,-1.295795441E1,-3.121386719E1
1.381505621E1,-3.883191681E1,-1.279137421E1,-3.152346802E1
1.382502621E1,-3.870261383E1,-1.269536591E1,-3.194906616E1
1.383499721E1,-3.867439270E1,-1.259237671E1,-3.172302246E1
1.384496821E1,-3.866857147E1,-1.247248840E1,-3.141592407E1
1.385493921E1,-3.886286926E1,-1.242729950E1,-3.106042480E1
1.386491021E1,-3.910788727E1,-1.218241882E1,-3.108081055E1
1.387488121E1,-3.936708069E1,-1.219802094E1,-3.119299316E1
1.388485221E1,-3.959169006E1,-1.241820526E1,-3.054928589E1
1.389482321E1,-3.986196899E1,-1.244759369E1,-3.059542847E1
1.390479421E1,-3.995081329E1,-1.246263123E1,-3.062295532E1
1.391476421E1,-3.996684265E1,-1.239051056E1,-3.022463989E1
1.392473521E1,-4.014571381E1,-1.261952972E1,-3.008758545E1
1.393470621E1,-4.016340637E1,-1.257055664E1,-3.011944580E1
1.394467721E1,-3.999894714E1,-1.286495972E1,-3.039892578E1
1.395464821E1,-4.023128510E1,-1.288569641E1,-2.984262085E1
1.396461921E1,-4.021224976E1,-1.288779449E1,-3.005316162E1
1.397459021E1,-4.027249146E1,-1.291463470E1,-3.020175171E1
1.398456021E1,-4.034896088E1,-1.328288269E1,-2.948019409E1
1.399453121E1,-4.040905762E1,-1.311096954E1,-2.949542236E1
1.400450221E1,-4.023808289E1,-1.355585480E1,-2.959857178E1
1.401447321E1,-4.022706604E1,-1.388182068E1,-2.959817505E1
1.402444421E1,-4.020957947E1,-1.400924683E1,-2.984558105E1
1.403441521E1,-4.029310608E1,-1.411392975E1,-3.001092529E1
1.404438621E1,-4.028628540E1,-1.418994141E1,-2.980038452E1
1.405435721E1,-4.025611115E1,-1.451275635E1,-3.003085327E1
1.406432721E1,-4.044844818E1,-1.493595886E1,-2.972369385E1
1.407429821E1,-4.037745667E1,-1.478577423E1,-2.965811157E1
1.408426921E1,-4.022138977E1,-1.464163208E1,-2.957833862E1
1.409424021E1,-4.032389832E1,-1.450727844E1,-2.981274414E1
1.410421121E1,-4.037191772E1,-1.450554657E1,-2.984243774E1
1.411418221E1,-4.037409973E1,-1.451057434E1,-3.015414429E1
1.412415321E1,-4.047584534E1,-1.426066589E1,-3.014089966E1
1.413412421E1,-4.060775757E1,-1.429427338E1,-2.995944214E1
1.414409421E1,-4.062580109E1,-1.419396210E1,-2.989208984E1
1.415406521E1,-4.063555145E1,-1.426625061E1,-3.002456665E1
1.416403621E1,-4.068157959E1,-1.430332184E1,-2.953683472E1
1.417400721E1,-4.072933960E1,-1.416253662E1,-2.952557373E1
1.418397821E1,-4.057907104E1,-1.399674225E1,-2.936233521E1
1.419394921E1,-4.057469177E1,-1.408364105E1,-2.944589233E1
1.420392021E1,-4.072718811E1,-1.403557587E1,-2.890277100E1
1.421389021E1,-4.080564880E1,-1.395416260E1,-2.924038696E1
1.422386121E1,-4.099318695E1,-1.392715454E1,-2.962005615E1
1.423383221E1,-4.118642426E1,-1.393176270E1,-2.934274292E1
1.424380321E1,-4.133355713E1,-1.362683868E1,-2.903488159E1
1.425377504E1,-4.131626892E1,-1.350363159E1,-2.881686401E1
1.426374604E1,-4.166705322E1,-1.296530914E1,-2.850119019E1
1.427371704E1,-4.168668365E1,-1.291330719E1,-2.837182617E1
1.428368704E1,-4.189962006E1,-1.234339905E1,-2.863040161E1
1.429365804E1,-4.224869537E1,-1.209597778E1,-2.847070312E1
1.430362904E1,-4.256700897E1,-1.189829254E1,-2.803210449E1
1.431360004E1,-4.270951080E1,-1.185061646E1,-2.783657837E1
1.432357104E1,-4.275830078E1,-1.177130890E1,-2.735311890E1
1.433354204E1,-4.286034393E1,-1.148345947E1,-2.719406128E1
1.434351304E1,-4.293769073E1,-1.094194794E1,-2.758209229E1
1.435348404E1,-4.306458282E1,-1.069760132E1,-2.718063354E1
1.436345404E1,-4.278849030E1,-1.049987793E1,-2.729547119E1
1.437342504E1,-4.257885742E1,-1.055613708E1,-2.789135742E1
1.438339604E1,-4.232847595E1,-1.042431641E1,-2.852532959E1
1.439336704E1,-4.225410461E1,-1.039469910E1,-2.871405029E1
1.440333804E1,-4.205933380E1,-1.016308594E1,-2.888348389E1
1.441330904E1,-4.215807343E1,-1.016944122E1,-2.858456421E1
1.442328004E1,-4.218914795E1,-1.043583679E1,-2.824615479E1
1.443325004E1,-4.233975220E1,-1.038526154E1,-2.842245483E1
