"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.165529987E1,-2.092979431E1,2.719146729E0,-3.969772339E1
4.166526987E1,-2.146920776E1,2.328483582E0,-3.933645630E1
4.167523987E1,-2.208122253E1,1.979927063E0,-3.933081055E1
4.168520987E1,-2.262573242E1,1.434127808E0,-3.915667725E1
4.169517992E1,-2.301490784E1,1.111076355E0,-3.857785034E1
4.170514992E1,-2.369920349E1,1.023651123E0,-3.837182617E1
4.171512092E1,-2.418730164E1,1.378166199E0,-3.802270508E1
4.172509092E1,-2.422011566E1,1.845184326E0,-3.809384155E1
4.173506092E1,-2.410769653E1,2.325294495E0,-3.782226562E1
4.174503092E1,-2.392997742E1,2.529815674E0,-3.799008179E1
4.175500092E1,-2.355323792E1,2.800514221E0,-3.850378418E1
4.176497092E1,-2.345565796E1,3.169105530E0,-3.865069580E1
4.177494092E1,-2.270234680E1,3.391487122E0,-3.872686768E1
4.178491092E1,-2.166848755E1,3.580238342E0,-3.949902344E1
4.179488192E1,-2.053935242E1,3.394622803E0,-3.954492188E1
4.180485192E1,-1.936051941E1,3.733741760E0,-4.017007446E1
4.181482192E1,-1.800369263E1,3.989273071E0,-4.052523804E1
4.182479192E1,-1.633483887E1,4.082023621E0,-4.090060425E1
4.183476192E1,-1.470986938E1,4.627044678E0,-4.148071289E1
4.184473192E1,-1.340672302E1,4.714218140E0,-4.231240845E1
4.185470192E1,-1.226097107E1,4.520484924E0,-4.242080688E1
4.186467192E1,-1.124679565E1,4.314453125E0,-4.195654297E1
4.187464292E1,-1.029783630E1,3.969352722E0,-4.278259277E1
4.188461292E1,-9.566177368E0,3.372467041E0,-4.320584106E1
4.189458292E1,-8.879013062E0,2.592285156E0,-4.325189209E1
4.190455292E1,-8.127273560E0,1.467712402E0,-4.348443604E1
4.191452292E1,-7.284255981E0,4.814987183E-1,-4.345812988E1
4.192449292E1,-5.882583618E0,-7.809371948E-1,-4.332769775E1
4.193446292E1,-4.250091553E0,-1.850837708E0,-4.349783325E1
4.194443292E1,-2.414245605E0,-3.128868103E0,-4.335653687E1
4.195440292E1,-5.764923096E-1,-4.269378662E0,-4.314785767E1
4.196437392E1,7.980651855E-1,-5.203544617E0,-4.341253662E1
4.197434392E1,1.564956665E0,-5.832023621E0,-4.350210571E1
4.198431392E1,1.607513428E0,-6.020301819E0,-4.365081787E1
4.199428392E1,8.201751709E-1,-6.150947571E0,-4.351321411E1
4.200425392E1,-7.263031006E-1,-5.909805298E0,-4.299017334E1
4.201422392E1,-2.491867065E0,-6.104248047E0,-4.298999023E1
4.202419392E1,-4.052764893E0,-6.001510620E0,-4.289657593E1
4.203416392E1,-4.874450684E0,-6.295066833E0,-4.268304443E1
4.204413492E1,-5.596496582E0,-6.539794922E0,-4.273846436E1
4.205410492E1,-6.366439819E0,-6.417640686E0,-4.270343018E1
4.206407492E1,-7.420181274E0,-6.246749878E0,-4.244137573E1
4.207404492E1,-8.389831543E0,-5.838455200E0,-4.255322266E1
4.208401492E1,-9.474777222E0,-5.489814758E0,-4.258746338E1
4.209398492E1,-9.792449951E0,-5.286964417E0,-4.276376343E1
4.210395492E1,-1.004223633E1,-4.983917236E0,-4.274743652E1
4.211392492E1,-1.034336853E1,-4.895973206E0,-4.277532959E1
4.212389492E1,-1.043452454E1,-4.508476257E0,-4.257916260E1
4.213386592E1,-1.048635864E1,-4.316528320E0,-4.241644287E1
4.214383592E1,-1.078225708E1,-4.444030762E0,-4.272341919E1
4.215380592E1,-1.093132019E1,-4.415412903E0,-4.255300903E1
4.216377592E1,-1.097744751E1,-4.097244263E0,-4.228512573E1
4.217374592E1,-1.097540283E1,-4.264732361E0,-4.204559326E1
4.218371592E1,-1.112738037E1,-4.327827454E0,-4.237478638E1
4.219368592E1,-1.104930115E1,-4.576774597E0,-4.262484741E1
4.220365592E1,-1.082040405E1,-4.819473267E0,-4.252011108E1
4.221362592E1,-1.026501465E1,-4.824798584E0,-4.233380127E1
4.222359692E1,-9.352706909E0,-5.050712585E0,-4.295791626E1
4.223356692E1,-7.923019409E0,-5.571098328E0,-4.314559937E1
4.224353692E1,-6.344223022E0,-6.525360107E0,-4.303573608E1
4.225350692E1,-4.733383179E0,-7.431251526E0,-4.269284058E1
4.226347692E1,-3.148406982E0,-8.333816528E0,-4.299658203E1
4.227344692E1,-1.360794067E0,-8.972656250E0,-4.293386841E1
4.228341692E1,1.778106689E-1,-9.723602295E0,-4.241217041E1
4.229338692E1,1.616836548E0,-1.000189209E1,-4.202825928E1
4.230335792E1,3.209793091E0,-1.014508057E1,-4.228018188E1
4.231332792E1,4.621597290E0,-1.012798309E1,-4.210171509E1
4.232329792E1,5.797225952E0,-1.022845459E1,-4.154400635E1
4.233326792E1,6.994049072E0,-1.007746887E1,-4.167834473E1
4.234323792E1,8.279876709E0,-9.901435852E0,-4.113128662E1
4.235320792E1,9.786071777E0,-9.926742554E0,-4.073776245E1
4.236317792E1,1.114570618E1,-1.019520569E1,-4.024572754E1
4.237314792E1,1.219029236E1,-9.763404846E0,-3.949792480E1
4.238311892E1,1.273136902E1,-9.812873840E0,-4.012014771E1
4.239308892E1,1.264129639E1,-9.662399292E0,-4.039056396E1
4.240305892E1,1.217922974E1,-9.494476318E0,-4.058795166E1
4.241302892E1,1.139524841E1,-9.081809998E0,-4.068804932E1
4.242299892E1,1.019294739E1,-8.622650146E0,-4.155166626E1
4.243296892E1,8.508148193E0,-7.895484924E0,-4.195175171E1
4.244293892E1,6.173217773E0,-7.503913879E0,-4.214688110E1
4.245290892E1,3.784439087E0,-7.523574829E0,-4.238104248E1
4.246287892E1,1.039276123E0,-8.140510559E0,-4.249157715E1
4.247284992E1,-1.445495605E0,-8.850189209E0,-4.259490967E1
4.248281992E1,-4.244049072E0,-9.260375977E0,-4.218215942E1
4.249278992E1,-6.932128906E0,-9.563507080E0,-4.177682495E1
4.250275992E1,-9.362472534E0,-1.045807648E1,-4.101571655E1
4.251272992E1,-1.188064575E1,-1.075108337E1,-4.052066040E1
4.252269992E1,-1.408633423E1,-1.111845398E1,-4.017028809E1
4.253266992E1,-1.633715820E1,-1.140287781E1,-3.915490723E1
4.254263992E1,-1.872825623E1,-1.130455017E1,-3.804260254E1
4.255260992E1,-2.085588074E1,-1.137744141E1,-3.716860962E1
4.256258092E1,-2.207763672E1,-1.177493286E1,-3.637670898E1
4.257255092E1,-2.321942139E1,-1.198119354E1,-3.604345703E1
4.258252092E1,-2.398652649E1,-1.237915039E1,-3.542956543E1
4.259249092E1,-2.464450836E1,-1.290501404E1,-3.510165405E1
4.260246092E1,-2.505077362E1,-1.296092224E1,-3.500744629E1
4.261243092E1,-2.536373138E1,-1.328952026E1,-3.444137573E1
4.262240092E1,-2.559494781E1,-1.336687469E1,-3.390551758E1
4.263237092E1,-2.543373871E1,-1.323711395E1,-3.417620850E1
4.264234092E1,-2.510514069E1,-1.357449341E1,-3.429400635E1
4.265231192E1,-2.448062897E1,-1.394000244E1,-3.431488037E1
4.266228192E1,-2.341635132E1,-1.454357147E1,-3.468963623E1
4.267225192E1,-2.205117798E1,-1.531576538E1,-3.514395142E1
4.268222192E1,-1.985076904E1,-1.634002686E1,-3.589300537E1
4.269219188E1,-1.739300537E1,-1.736802673E1,-3.631814575E1
4.270216187E1,-1.444288635E1,-1.845791626E1,-3.659182739E1
4.271213187E1,-1.085775757E1,-1.980641937E1,-3.718820190E1
4.272210187E1,-7.589645386E0,-2.077957153E1,-3.715762329E1
4.273207287E1,-4.029815674E0,-2.167266846E1,-3.681695557E1
4.274204287E1,-7.369995117E-1,-2.258660126E1,-3.646911621E1
4.275201287E1,2.416992188E0,-2.359754181E1,-3.548074341E1
4.276198287E1,5.110031128E0,-2.391634369E1,-3.473858643E1
4.277195287E1,7.466461182E0,-2.454796600E1,-3.436871338E1
4.278192287E1,9.292434692E0,-2.465976715E1,-3.354989624E1
4.279189287E1,1.075199890E1,-2.463668823E1,-3.274652100E1
4.280186287E1,1.197351074E1,-2.474322510E1,-3.263183594E1
4.281183288E1,1.356573486E1,-2.459384155E1,-3.213916016E1
