"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.513300404E1,4.990844727E-1,-2.651726532E1,-3.629562378E1
2.514297404E1,5.071258545E-1,-2.670087433E1,-3.579583740E1
2.515294404E1,3.583679199E-1,-2.691728210E1,-3.606173706E1
2.516291404E1,3.321075439E-1,-2.689036560E1,-3.586511230E1
2.517288404E1,3.234863281E-3,-2.684069061E1,-3.619207764E1
2.518285404E1,-9.535217285E-2,-2.706171417E1,-3.571942139E1
2.519282404E1,1.721343994E-1,-2.693845367E1,-3.575952148E1
2.520279404E1,2.981567383E-2,-2.708007050E1,-3.593267822E1
2.521276504E1,2.308654785E-1,-2.720858765E1,-3.581866455E1
2.522273504E1,4.331970215E-1,-2.721294403E1,-3.566015625E1
2.523270504E1,1.322937012E-1,-2.737107849E1,-3.559786987E1
2.524267504E1,1.512756348E-1,-2.763813782E1,-3.563903809E1
2.525264504E1,-1.529998779E-1,-2.810736084E1,-3.528057861E1
2.526261504E1,-3.517608643E-1,-2.812165833E1,-3.562380981E1
2.527258504E1,-7.416534424E-1,-2.795288849E1,-3.529428101E1
2.528255504E1,-9.376831055E-1,-2.798075867E1,-3.509997559E1
2.529252504E1,-7.487792969E-1,-2.838753510E1,-3.504925537E1
2.530249504E1,-9.662628174E-1,-2.856095123E1,-3.503103638E1
2.531246504E1,-8.939666748E-1,-2.844615173E1,-3.509356689E1
2.532243504E1,-8.977508545E-1,-2.843665314E1,-3.499499512E1
2.533240504E1,-7.899169922E-1,-2.859894562E1,-3.497720337E1
2.534237504E1,-8.339691162E-1,-2.872201538E1,-3.449005127E1
2.535234504E1,-7.019348145E-1,-2.866738129E1,-3.427917480E1
2.536231604E1,-1.023223877E0,-2.891848755E1,-3.413150024E1
2.537228604E1,-1.294509888E0,-2.878092194E1,-3.448556519E1
2.538225604E1,-1.165191650E0,-2.871486664E1,-3.458480835E1
2.539222604E1,-1.260330200E0,-2.904432678E1,-3.460488892E1
2.540219604E1,-1.408142090E0,-2.903817749E1,-3.458474731E1
2.541216604E1,-1.403594971E0,-2.921661377E1,-3.414181519E1
2.542213604E1,-1.540771484E0,-2.912635803E1,-3.398974609E1
2.543210604E1,-1.639129639E0,-2.898111725E1,-3.402807617E1
2.544207604E1,-1.799255371E0,-2.898170471E1,-3.430557251E1
2.545204604E1,-1.768264771E0,-2.915677643E1,-3.387527466E1
2.546201604E1,-1.609542847E0,-2.941566467E1,-3.401922607E1
2.547198604E1,-1.478012085E0,-2.922931671E1,-3.406872559E1
2.548195604E1,-1.320953369E0,-2.935089111E1,-3.395111084E1
2.549192604E1,-1.379669189E0,-2.938465118E1,-3.399203491E1
2.550189704E1,-1.330902100E0,-2.916347504E1,-3.430712891E1
2.551186704E1,-1.405242920E0,-2.912662506E1,-3.414160156E1
2.552183704E1,-1.358505249E0,-2.931591034E1,-3.421810913E1
2.553180704E1,-1.072525024E0,-2.935819244E1,-3.383114624E1
2.554177704E1,-1.046188354E0,-2.936750031E1,-3.378448486E1
2.555174704E1,-7.177581787E-1,-2.907415771E1,-3.389663696E1
2.556171704E1,-7.573699951E-1,-2.870264435E1,-3.375830078E1
2.557168704E1,-4.039916992E-1,-2.870367432E1,-3.360653687E1
2.558165704E1,-3.117828369E-1,-2.887165833E1,-3.409844971E1
2.559162704E1,1.448364258E-1,-2.902313995E1,-3.444027710E1
2.560159704E1,1.396331787E-1,-2.906009674E1,-3.394940186E1
2.561156704E1,1.412200928E-1,-2.892891693E1,-3.437448120E1
2.562153704E1,1.248931885E-1,-2.928668213E1,-3.406597900E1
2.563150704E1,1.465759277E-1,-2.949356079E1,-3.372070312E1
2.564147804E1,1.269378662E-1,-2.952680206E1,-3.384490967E1
2.565144804E1,-8.821105957E-2,-2.959673309E1,-3.349783325E1
2.566141804E1,-2.453308105E-1,-2.950726318E1,-3.361529541E1
2.567138804E1,-3.450317383E-1,-2.975232697E1,-3.357583618E1
2.568135804E1,-3.223876953E-1,-2.983439636E1,-3.344912720E1
2.569132804E1,-5.787658691E-2,-3.002083206E1,-3.315780640E1
2.570129804E1,8.956909180E-3,-3.021903229E1,-3.289041138E1
2.571126804E1,-6.381225586E-2,-3.032761002E1,-3.268597412E1
2.572123804E1,2.018737793E-2,-3.039980698E1,-3.300195312E1
2.573120804E1,-1.236572266E-1,-3.021148682E1,-3.285772705E1
2.574117804E1,-7.446289062E-2,-3.073331451E1,-3.279605103E1
2.575114804E1,8.760070801E-2,-3.069832230E1,-3.260809326E1
2.576111804E1,-1.430206299E-1,-3.084239960E1,-3.254101562E1
2.577108904E1,-1.432342529E-1,-3.099221802E1,-3.231069946E1
2.578105904E1,-1.163024902E-1,-3.087245941E1,-3.219149780E1
2.579102904E1,-1.021728516E-1,-3.112427521E1,-3.203552246E1
2.580099904E1,-9.120178223E-2,-3.144512177E1,-3.220178223E1
2.581096904E1,3.128051758E-2,-3.161326599E1,-3.194155884E1
2.582093904E1,-7.341003418E-2,-3.160198975E1,-3.213534546E1
2.583090904E1,1.195678711E-1,-3.143346786E1,-3.152578735E1
2.584087904E1,1.070861816E-1,-3.131993484E1,-3.173791504E1
2.585084904E1,1.214599609E-2,-3.142536926E1,-3.151840210E1
2.586081904E1,-4.980468750E-2,-3.175603485E1,-3.134963989E1
2.587078904E1,-1.169281006E-1,-3.198926163E1,-3.140951538E1
2.588075904E1,-3.354797363E-1,-3.188011169E1,-3.108679199E1
2.589072904E1,-5.155639648E-1,-3.216444016E1,-3.106930542E1
2.590069904E1,-5.380554199E-1,-3.212383652E1,-3.066326904E1
2.591067004E1,-7.862701416E-1,-3.208538055E1,-3.068817139E1
2.592064004E1,-7.976226807E-1,-3.220175171E1,-3.076275635E1
2.593061004E1,-9.738769531E-1,-3.240802002E1,-3.054309082E1
2.594058004E1,-1.146423340E0,-3.258458710E1,-3.029113770E1
2.595055004E1,-9.039611816E-1,-3.265623474E1,-3.039166260E1
2.596052004E1,-1.016265869E0,-3.281450653E1,-3.033416748E1
2.597048921E1,-9.956665039E-1,-3.289888000E1,-2.997146606E1
2.598045921E1,-1.142318726E0,-3.293164825E1,-2.941275024E1
2.599042921E1,-1.292999268E0,-3.325193024E1,-2.910510254E1
2.600039921E1,-1.348098755E0,-3.327349472E1,-2.904046631E1
2.601036921E1,-1.545730591E0,-3.353905106E1,-2.915158081E1
2.602033921E1,-1.632705688E0,-3.366727829E1,-2.907391357E1
2.603030921E1,-1.708526611E0,-3.359136963E1,-2.844177246E1
2.604027921E1,-1.757476807E0,-3.364938736E1,-2.836062622E1
2.605025021E1,-1.765731812E0,-3.416607285E1,-2.823309326E1
2.606022021E1,-1.691268921E0,-3.395722961E1,-2.794869995E1
2.607019021E1,-1.873321533E0,-3.403151321E1,-2.799722290E1
2.608016021E1,-1.963714600E0,-3.414043045E1,-2.787866211E1
2.609013021E1,-1.906295776E0,-3.439744568E1,-2.744546509E1
2.610010021E1,-1.967742920E0,-3.444712448E1,-2.723556519E1
2.611007021E1,-2.084152222E0,-3.435418701E1,-2.703860474E1
2.612004021E1,-2.001861572E0,-3.453610229E1,-2.666458130E1
2.613001021E1,-2.061019897E0,-3.467158127E1,-2.689022827E1
2.613998021E1,-2.253463745E0,-3.483748627E1,-2.669519043E1
2.614995021E1,-2.421356201E0,-3.477445221E1,-2.648614502E1
2.615992021E1,-2.447723389E0,-3.490071106E1,-2.631588745E1
2.616989021E1,-2.498001099E0,-3.518118668E1,-2.619079590E1
2.617986121E1,-2.418701172E0,-3.525617599E1,-2.642056274E1
2.618983121E1,-2.354766846E0,-3.498407745E1,-2.618179321E1
2.619980121E1,-2.310455322E0,-3.491088104E1,-2.605764771E1
2.620977121E1,-2.619461060E0,-3.520224380E1,-2.585922241E1
2.621974121E1,-2.422180176E0,-3.508026505E1,-2.599130249E1
2.622971121E1,-2.308471680E0,-3.501101303E1,-2.595245361E1
2.623968121E1,-2.347885132E0,-3.515245438E1,-2.600604248E1
2.624965121E1,-2.312225342E0,-3.545587158E1,-2.588565063E1
2.625962121E1,-2.100326538E0,-3.555981445E1,-2.587701416E1
2.626959121E1,-1.873382568E0,-3.573138046E1,-2.543270874E1
2.627956121E1,-1.816329956E0,-3.582236862E1,-2.556570435E1
2.628953121E1,-1.585189819E0,-3.569165421E1,-2.569912720E1
2.629950121E1,-1.345199585E0,-3.585118866E1,-2.548410034E1
2.630947121E1,-1.157119751E0,-3.567929077E1,-2.567883301E1
2.631944221E1,-1.076980591E0,-3.572067261E1,-2.558999634E1
2.632941221E1,-7.912902832E-1,-3.560343552E1,-2.557427979E1
2.633938221E1,-6.657409668E-1,-3.568550491E1,-2.549838257E1
2.634935221E1,-7.255706787E-1,-3.585718918E1,-2.541091919E1
2.635932221E1,-3.867340088E-1,-3.604769897E1,-2.518460083E1
2.636929221E1,-1.548004150E-1,-3.582892990E1,-2.552667236E1
2.637926221E1,-1.257171631E-1,-3.583936691E1,-2.549044800E1
2.638923221E1,-4.617309570E-2,-3.604242706E1,-2.501098633E1
2.639920221E1,5.421447754E-2,-3.609273529E1,-2.465313721E1
2.640917221E1,2.595520020E-1,-3.640808105E1,-2.456893921E1
2.641914221E1,4.693756104E-1,-3.649610901E1,-2.421166992E1
2.642911221E1,6.463012695E-1,-3.643535995E1,-2.420443726E1
2.643908321E1,5.276184082E-1,-3.654324722E1,-2.374868774E1
2.644905321E1,3.525543213E-1,-3.659003067E1,-2.386157227E1
2.645902321E1,6.310272217E-1,-3.683496094E1,-2.370227051E1
2.646899321E1,5.859069824E-1,-3.698712921E1,-2.382022095E1
2.647896321E1,4.918823242E-1,-3.702276611E1,-2.374874878E1
2.648893321E1,8.129577637E-1,-3.724069214E1,-2.331707764E1
2.649890321E1,6.076354980E-1,-3.720212555E1,-2.320193481E1
2.650887321E1,7.103424072E-1,-3.726129532E1,-2.299093628E1
2.651884321E1,8.696899414E-1,-3.727130127E1,-2.266387939E1
