"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.200295475E1,-7.776397705E0,-2.117875671E1,-4.264669800E1
2.201292575E1,-5.885528564E0,-2.269753265E1,-4.197714233E1
2.202289575E1,-4.075607300E0,-2.426116943E1,-4.146875000E1
2.203286675E1,-2.125778198E0,-2.558057404E1,-4.122839355E1
2.204283675E1,9.362792969E-2,-2.672605133E1,-4.083923340E1
2.205280675E1,2.226676941E0,-2.811634827E1,-3.943841553E1
2.206277775E1,4.586509705E0,-2.918009186E1,-3.844378662E1
2.207274775E1,6.489387512E0,-2.979100800E1,-3.738543701E1
2.208271875E1,8.660476685E0,-3.042882538E1,-3.658782959E1
2.209268875E1,1.065972900E1,-3.118825531E1,-3.540142822E1
2.210265975E1,1.240737915E1,-3.152478790E1,-3.455712891E1
2.211262975E1,1.404490662E1,-3.175524139E1,-3.382736206E1
2.212260075E1,1.543207550E1,-3.167171478E1,-3.334014893E1
2.213257075E1,1.684948730E1,-3.164521790E1,-3.274713135E1
2.214254175E1,1.748218536E1,-3.153626251E1,-3.249670410E1
2.215251175E1,1.840407562E1,-3.175776672E1,-3.213934326E1
2.216248175E1,1.909620667E1,-3.136603546E1,-3.164920044E1
2.217245275E1,1.951634216E1,-3.092434692E1,-3.195687866E1
2.218242275E1,1.997192383E1,-3.061557007E1,-3.199197388E1
2.219239375E1,1.958090210E1,-3.028457642E1,-3.279052734E1
2.220236375E1,1.890016174E1,-2.963358307E1,-3.306750488E1
2.221233475E1,1.799635315E1,-2.945631409E1,-3.398336792E1
2.222230475E1,1.667943573E1,-2.944503021E1,-3.448461914E1
2.223227575E1,1.540618896E1,-2.977668762E1,-3.488070679E1
2.224224575E1,1.412917328E1,-3.038020325E1,-3.463699341E1
2.225221575E1,1.273803711E1,-3.102417755E1,-3.528326416E1
2.226218675E1,1.157338715E1,-3.110236359E1,-3.524447632E1
2.227215675E1,1.099202728E1,-3.117192841E1,-3.528439331E1
2.228212775E1,1.108261108E1,-3.138073730E1,-3.548788452E1
2.229209775E1,1.172994232E1,-3.110662842E1,-3.500894165E1
2.230206875E1,1.197387695E1,-3.120801544E1,-3.469436646E1
2.231203875E1,1.259053040E1,-3.130447388E1,-3.481884766E1
2.232200975E1,1.296332550E1,-3.149150848E1,-3.400701904E1
2.233197975E1,1.334436798E1,-3.153758240E1,-3.390444946E1
2.234195075E1,1.340322876E1,-3.145771790E1,-3.400143433E1
2.235192075E1,1.308800507E1,-3.151255035E1,-3.416769409E1
2.236189075E1,1.263947296E1,-3.135923767E1,-3.450250244E1
2.237186175E1,1.221020508E1,-3.152191925E1,-3.464175415E1
2.238183175E1,1.170011139E1,-3.146623993E1,-3.486755371E1
2.239180275E1,1.139168549E1,-3.176623535E1,-3.488601685E1
2.240177275E1,1.098519135E1,-3.179468536E1,-3.478817749E1
2.241174375E1,1.057508087E1,-3.152867889E1,-3.541552734E1
2.242171375E1,1.022679138E1,-3.160367584E1,-3.527059937E1
2.243168475E1,9.792877197E0,-3.149482727E1,-3.535421753E1
